Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
204019,notting hill,1999,Anna,25,Anna Scott,ANNA,2890.2000000000007
1428048,the last of the mohicans,1992,Cameron,2,Cameron,CAMERON,2881.833333333334
142049,minority report,2002,Leo,8,Leo Crow,LEO,2831.166666666667
228274,the last samurai,2003,Nathan,22,Nathan Algren,NATHAN,2790.666666666668
236691,cabaret,1972,Brian,18,Brian Roberts,BRIAN,2750.8333333333358
23808966,bill & ted's excellent adventure,1989,Logan,16,"Ted"" Theodore Logan",LOGAN,2695.166666666667
219712,final destination,2000,Carter,6,Carter Horton,CARTER,2685.533333333333
302970,edward scissorhands,1990,Kevin,2,Kevin,KEVIN,2683.7333333333336
216072,home alone,1990,Kevin,16,Kevin,KEVIN,2683.7333333333336
73170,aladdin,1992,Jasmine,13,Jasmine,JASMINE,2646.4333333333343
210151,"lock, stock and two smoking barrels",1998,Tom,7,Tom,TOM,2614.6
301574,the little mermaid,1989,Ariel,27,Ariel spends,ARIEL,2508.0333333333338
177906,labyrinth,1986,Sarah,22,Sarah,SARAH,2483.4000000000015
84931,witness,1985,Samuel,9,Samuel,SAMUEL,2451.666666666666
4608223,west side story,1961,Maria,42,Maria,MARIA,2451.0
6984559,the guns of navarone,1961,Maria,5,Maria,MARIA,2451.0
235418,lethal weapon,1987,Joshua,12,Joshua,JOSHUA,2387.9333333333343
186856,the omen,1976,Damien,15,Damien Thorn,DAMIEN,2352.733333333333
186856,the omen,1976,Katherine,3,Katherine,KATHERINE,2308.4333333333334
29943,the breakfast club,1985,Allison,3,Allison Reynolds,ALLISON,2270.3
312757,tron,1982,Kevin,15,Kevin Flynn,KEVIN,2235.9000000000015
99304,pearl harbor,2001,Evelyn,10,Evelyn Johnson,EVELYN,2195.466666666667
957359,the mummy returns,2001,Evelyn,6,Evelyn O'Connell,EVELYN,2195.466666666667
3156200,hang 'em high,1968,Adam,4,Adam Fenton,ADAM,2157.966666666667
237303,bruce almighty,2003,Nolan,25,Bruce Nolan,NOLAN,2145.733333333333
394792,jackie brown,1997,Max,11,Max Cherry,MAX,2115.733333333333
657446,liar liar,1997,Max,13,Max,MAX,2115.733333333333
28327,stargate,1994,Jackson,20,Daniel Jackson,JACKSON,2108.866666666667
179044,the jerk,1979,Marie,10,Marie knocks,MARIE,2107.666666666666
204019,notting hill,1999,Max,2,Max,MAX,2056.266666666667
204019,notting hill,1999,William,4,"William ""Will",WILLIAM,2050.333333333332
228355,the naked gun: from the files of police squad!,1988,Spencer,9,Jane Spencer,SPENCER,2019.2
489800,rush hour,1998,Carter,22,Detective James Carter,CARTER,2012.2333333333336
725459,the exorcist,1973,Damien,10,Damien Karras,DAMIEN,1975.5333333333335
724258,mission: impossible,1996,Max,8,Max,MAX,1961.1
84931,witness,1985,Rachel,14,Rachel Lapp,RACHEL,1939.5333333333328
702117,spider-man 3,2007,Harry,14,Harry Osborn,HARRY,1927.6333333333332
28269,saving private ryan,1998,George,2,George Marshall,GEORGE,1917.8000000000002
171562,american history x,1998,Seth,2,Seth Ryan,SETH,1883.1333333333332
724258,mission: impossible,1996,Alexander,3,Alexander Golitsyn,ALEXANDER,1881.1666666666679
4846576,american psycho,2000,Evelyn,2,Evelyn,EVELYN,1876.3666666666666
21180,natural born killers,1994,Owen,2,Owen Traft,OWEN,1841.4
370064,love actually,2003,Natalie,4,Natalie  ,NATALIE,1831.166666666666
348737,mrs. doubtfire,1993,Miranda,6,Miranda,MIRANDA,1814.666666666667
666923,the lost world: jurassic park,1997,Carter,3,Carter,CARTER,1782.8
52371,titanic,1997,Dawson,27,Jack Dawson,DAWSON,1779.3666666666668
52371,titanic,1997,Dawson,33,Rose Dawson Calvert,DAWSON,1779.3666666666668
28269,saving private ryan,1998,Charlie,3,Charlie Company,CHARLIE,1770.8333333333335
268833,goldeneye,1995,Valentin,2,Valentin Zukovsky,VALENTIN,1742.9666666666672
920613,cars,2006,Hudson,7,Doc Hudson,HUDSON,1718.0666666666666
146236,close encounters of the third kind,1977,Jillian,3,Jillian,JILLIAN,1700.6333333333332
525113,tombstone,1993,Wyatt,16,Wyatt Earp,WYATT,1685.2666666666664
473273,jurassic park iii,2001,Cooper,4,Cooper,COOPER,1683.4666666666665
9541497,in bruges,2008,Harry,53,Harry shoots Ray,HARRY,1660.8000000000002
52549,star wars episode iv: a new hope,1977,Luke,16,Luke Skywalker,LUKE,1653.1666666666665
188902,gangs of new york,2002,Jack,3,Jack Mulraney,JACK,1649.3666666666686
54173,pulp fiction,1994,Mia,5,Mia Wallace,MIA,1611.9333333333334
2173342,two mules for sister sara,1970,Sara,2,Sara,SARA,1579.7333333333336
8481,dressed to kill,1980,Blake,8,Liz Blake,BLAKE,1573.6333333333334
349941,being john malkovich,1999,Charlie,2,Charlie Sheen,CHARLIE,1556.2333333333336
265033,space jam,1996,Jordan,6,Michael Jordan,JORDAN,1554.5333333333328
19479460,x-men,2000,Xavier,2,Charles Xavier,XAVIER,1515.333333333333
442647,young frankenstein,1974,Elizabeth,4,Elizabeth,ELIZABETH,1514.8666666666668
25447258,frozen,2010,Parker,6,Parker O'Neill,PARKER,1512.166666666667
